,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
47,The Unholy,2021,PG-13,02 Apr 2021,99 min,"Drama, Horror, Mystery",Evan Spiliotopoulos,"Evan Spiliotopoulos, James Herbert","Jeffrey Dean Morgan, Cricket Brown, William Sadler","A hearing-impaired girl is visited by the Virgin Mary and can suddenly hear, speak, and heal the sick. As people flock to witness her miracles, terrifying events unfold. Are they the work of the Virgin Mary or something much more sin","English, American Sign , Latin",https://m.media-amazon.com/images/M/MV5BYzljZGEyNjYtM2Q0NC00NWFlLWE3NDktYmZjNjg0NDFlNDc4XkEyXkFqcGdeQXVyNDU5MTU4ODU@._V1_SX300.jpg,36,5.1,"$15,532,137",N/A
48,The Little Things,2021,R,29 Jan 2021,128 min,"Crime, Drama, Mystery",John Lee Hancock,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","English, Spanish, Arabic",https://m.media-amazon.com/images/M/MV5BOGFlNTdmYWQtM2IzMi00YTY3LTlmMDQtZDI5NGQ5MjYzZmEwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,54,6.3,"$15,342,746",N/A
49,Dear Evan Hansen,2021,PG-13,24 Sep 2021,137 min,"Drama, Musical",Stephen Chbosky,"Steven Levenson, Benj Pasek, Justin Paul","Ben Platt, Julianne Moore, Kaitlyn Dever","Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high school senior with Social Anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate.",English,https://m.media-amazon.com/images/M/MV5BYzMwZTZhY2UtNWRjYy00MDc3LWE2MWUtZTg5NjVmZGY1NTdhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,39,6.1,"$15,002,646",N/A
50,King Richard,2021,PG-13,19 Nov 2021,144 min,"Biography, Drama, Sport",Reinaldo Marcus Green,Zach Baylin,"Will Smith, Aunjanue Ellis, Jon Bernthal",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,English,https://m.media-amazon.com/images/M/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,76,7.6,"$14,849,075",N/A
51,Stillwater,2021,R,30 Jul 2021,139 min,"Crime, Drama, Thriller",Tom McCarthy,"Tom McCarthy, Marcus Hinchey, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin","A father travels from Oklahoma to France to help his estranged daughter, who is in prison for a murder she claims she didn't commit.","English, French",https://m.media-amazon.com/images/M/MV5BN2IzMTUyMDUtZGJmZC00YWMzLWFhMGMtZjQwMTkzMzViMjFkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,60,6.6,"$14,465,535",N/A
52,Malignant,2021,R,10 Sep 2021,111 min,"Crime, Horror, Mystery",James Wan,"James Wan, Ingrid Bisu, Akela Cooper","Annabelle Wallis, Maddie Hasson, George Young","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",English,https://m.media-amazon.com/images/M/MV5BYTc0NWIwOTYtNzEwYi00YmUyLTlmYWYtYjJiZjRjN2RjMjAxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,51,6.3,"$13,391,791",N/A
53,Christmas with the Chosen: The Messengers,2021,Not Rated,01 Dec 2021,123 min,Music,"Dallas Jenkins, Jacob Schwarz, Aaron Edson",N/A,"Austin Reed Alleman, Sara Anne, Alican Barlas","Artists perform new and classic Christmas songs from the set of ""The Chosen.""",N/A,https://m.media-amazon.com/images/M/MV5BMDhjNDA1ZTgtODkyMi00NGM5LWI5ODMtYTZkN2RmY2E0MWIyXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,N/A,7.7,"$13,728,000",N/A
54,Chaos Walking,2021,PG-13,05 Mar 2021,109 min,"Action, Adventure, Fantasy",Doug Liman,"Patrick Ness, Christopher Ford","Tom Holland, Daisy Ridley, Demián Bichir",Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.,English,https://m.media-amazon.com/images/M/MV5BYTcxYTk3MWQtZThlMS00ZjQ0LTg0NjktNGVkNWM2MTAyYWJmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,38,5.8,"$13,287,908",N/A
55,Nightmare Alley,2021,R,17 Dec 2021,150 min,"Crime, Drama, Thriller",Guillermo del Toro,"Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette",An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,English,https://m.media-amazon.com/images/M/MV5BOTI4NDhhNGEtZjQxZC00ZTRmLThmZTctOGJmY2ZlOTc0ZGY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,70,7.4,"$11,031,950",N/A
56,The Last Duel,2021,R,15 Oct 2021,152 min,"Action, Drama, History",Ridley Scott,"Nicole Holofcener, Ben Affleck, Matt Damon","Matt Damon, Adam Driver, Jodie Comer",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,"English, German, French, Latin",https://m.media-amazon.com/images/M/MV5BZGExZTUzYWQtYWJjZi00OTI4LTk4OGYtNTA2YzcwMmNiZTMxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,67,7.4,"$10,853,945",N/A
57,Antlers,2021,R,29 Oct 2021,99 min,"Drama, Horror, Mystery",Scott Cooper,"Henry Chaisson, Nick Antosca, Scott Cooper","Keri Russell, Jesse Plemons, Jeremy T. Thomas","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.","English, Ojibwa",https://m.media-amazon.com/images/M/MV5BY2UzODAyNjktN2MwYy00M2RkLThiOTEtMjU1MTgxY2EzM2YyXkEyXkFqcGdeQXVyODk5MDA0MDU@._V1_SX300.jpg,57,5.9,"$10,619,670",N/A
58,Cry Macho,2021,PG-13,17 Sep 2021,104 min,"Drama, Thriller",Clint Eastwood,"Nick Schenk, N. Richard Nash","Clint Eastwood, Dwight Yoakam, Daniel V. Graulau","A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man.","English, Spanish, American Sign ",https://m.media-amazon.com/images/M/MV5BOGQ5OTBkNzAtYWQxYy00YjIxLWJkNTAtNTM2NDMxYzdkZDVmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,58,5.7,"$10,310,734",N/A
59,Last Night in Soho,2021,R,29 Oct 2021,116 min,"Drama, Horror, Mystery",Edgar Wright,"Edgar Wright, Krysty Wilson-Cairns","Thomasin McKenzie, Anya Taylor-Joy, Matt Smith",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something da,English,https://m.media-amazon.com/images/M/MV5BZjgwZDIwY2MtNGZlNy00NGRlLWFmNTgtOTBkZThjMDUwMGJhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,65,7.2,"$10,127,625",N/A
60,Belfast,2021,PG-13,12 Nov 2021,98 min,"Biography, Drama, History",Kenneth Branagh,Kenneth Branagh,"Jude Hill, Lewis McAskie, Caitriona Balfe",A young boy and his working-class Belfast family experience the tumultuous late 1960s.,English,https://m.media-amazon.com/images/M/MV5BODMwYTYyY2ItOWQ5Yi00OTI1LTllYTQtYTdlNWM4YzJhYTM0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,75,7.4,"$7,197,965",N/A
61,The Many Saints of Newark,2021,R,01 Oct 2021,120 min,"Crime, Drama",Alan Taylor,"David Chase, Lawrence Konner","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.","English, Italian, Latin",https://m.media-amazon.com/images/M/MV5BYmQzNmY3YzItOTE3OC00NGZjLTkwZDYtOWVmM2QyMzhiYTgwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,60,6.3,"$8,237,403",N/A
62,The Protégé,2021,R,20 Aug 2021,109 min,"Action, Thriller",Martin Campbell,Richard Wenk,"Michael Keaton, Maggie Q, Samuel L. Jackson","Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",English,https://m.media-amazon.com/images/M/MV5BNGQ2MTQ3ZjQtZmRjMS00ZDJmLTlkYWQtOWVhODllYjJiNGUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,48,6.1,"$7,446,823",N/A
63,Those Who Wish Me Dead,2021,R,14 May 2021,100 min,"Action, Crime, Drama",Taylor Sheridan,"Michael Koryta, Charles Leavitt, Taylor Sheridan","Angelina Jolie, Nicholas Hoult, Finn Little",A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all.,English,https://m.media-amazon.com/images/M/MV5BMDAxMmQ0NTAtNDllNC00ZjE2LTlkNjUtMmExNmY0MmNkMDQ0XkEyXkFqcGdeQXVyNzYyOTM1ODI@._V1_SX300.jpg,59,6.0,"$7,407,200",N/A
64,Spencer,2021,R,05 Nov 2021,117 min,"Biography, Drama",Pablo Larraín,Steven Knight,"Kristen Stewart, Timothy Spall, Jack Nielen","During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana Spencer, struggling with mental health problems, decides to end her decade-long marriage to Prince Charles.",English,https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,76,6.8,"$7,086,632",N/A
65,A Journal for Jordan,2021,PG-13,25 Dec 2021,131 min,Drama,Denzel Washington,"Virgil Williams, Charles Monroe King, Dana Canedy","Michael B. Jordan, Chanté Adams, Jalon Christian","1st Sgt. Charles Monroe King, before he is killed in action in Baghdad, authors a journal for his son intended to tell him how to live a decent life despite growing up without a father.",English,https://m.media-amazon.com/images/M/MV5BYjU4MmFlODMtYjE2OC00OWQ2LWIwNDctMTQ4MmZhMzdhMWE2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,42,5.7,"$6,312,915",N/A
66,Judas and the Black Messiah,2021,R,12 Feb 2021,126 min,"Biography, Drama, History",Shaka King,"Will Berson, Shaka King, Kenneth Lucas","Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons","Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.",English,https://m.media-amazon.com/images/M/MV5BMjBjYjBjNTUtOTg0Ni00Yzk2LTg1NWMtNjI2ODk2YjJmZGU0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,85,7.5,"$5,478,009",N/A
67,Roadrunner: A Film About Anthony Bourdain,2021,R,16 Jul 2021,119 min,Documentary,Morgan Neville,N/A,"Anthony Bourdain, Ottavia Bourdain, David Chang","A documentary about Anthony Bourdain and his career as a chef, writer and host, revered and renowned for his authentic approach to food, culture and travel.",English,https://m.media-amazon.com/images/M/MV5BYmUwMjlhYTktNWE4Zi00MDcwLWE1OTctMjAyMWU4NjVlYWM4XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,N/A,7.8,"$5,249,970",N/A
68,Copshop,2021,R,17 Sep 2021,107 min,"Action, Crime, Thriller",Joe Carnahan,"Kurt McLeod, Joe Carnahan, Mark Williams","Gerard Butler, Frank Grillo, Alexis Louder","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",English,https://m.media-amazon.com/images/M/MV5BMTZjZWYzYjMtMmNlYi00MTdkLWI4OTMtMmVhM2QzZjZiZTZiXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,61,6.2,"$5,213,243",N/A
69,Separation,2021,R,30 Apr 2021,107 min,Horror,William Brent Bell,"Nick Amadeus, Josh Braun","Rupert Friend, Violet McGraw, Madeline Brewer",A young girl finds solace in her artist father and the ghost of her dead mother.,English,https://m.media-amazon.com/images/M/MV5BN2QxMjIxNDYtZGRiOS00MjdmLWI4YTItZDQ4YzI2ODFiODU3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,N/A,4.7,"$4,509,143",N/A
70,Boogie,2021,R,05 Mar 2021,90 min,"Drama, Sport",Eddie Huang,Eddie Huang,"Taylor Takahashi, Pamelyn Chee, Jorge Lendeborg Jr.","Coming-of-age story of Alfred ""Boogie"" Chin, a basketball phenom living in Queens, New York, who dreams of one day playing in the NBA. While his parents pressure him to focus on earning a scholarship to an elite college, Boogie must ",English,https://m.media-amazon.com/images/M/MV5BZTQwNDNlMmEtMmU4Mi00OGE5LWE0ZDAtYzU3YTc3MzJjM2ZlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,54,5.2,"$4,178,620",N/A
71,Reminiscence,2021,PG-13,20 Aug 2021,116 min,"Mystery, Romance, Sci-Fi",Lisa Joy,Lisa Joy,"Hugh Jackman, Rebecca Ferguson, Thandiwe Newton","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about h","English, Mandarin, Spanish",https://m.media-amazon.com/images/M/MV5BODBkMTNmMmQtYTNlMy00OTRhLWE5MzgtYTZlMTUyYzY1MzkzXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,46,5.9,"$3,900,193",N/A
72,12 Mighty Orphans,2021,PG-13,18 Jun 2021,118 min,"History, Sport",Ty Roberts,"Jim Dent, Ty Roberts, Lane Garrison","Luke Wilson, Vinessa Shaw, Wayne Knight","Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",English,https://m.media-amazon.com/images/M/MV5BZWMxNzA1NWEtYjgwMC00ZjkwLTljYjYtN2E3ZWIzODJlN2Y4XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_SX300.jpg,44,6.9,"$3,689,637",N/A
73,Pig,2021,R,16 Jul 2021,92 min,"Drama, Mystery, Thriller",Michael Sarnoski,"Vanessa Block, Michael Sarnoski","Nicolas Cage, Alex Wolff, Adam Arkin",A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.,English,https://m.media-amazon.com/images/M/MV5BOTc2NjRmN2QtMGY1Ny00MTc2LWJmMWUtZmViOTkyNjk2NGExXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,82,7.0,"$3,186,668",N/A
74,The Girl Who Believes in Miracles,2021,PG,02 Apr 2021,100 min,"Drama, Family",Richard Correll,"Richard Correll, G.M. Mercier","Mira Sorvino, Austyn Johnson, Kevin Sorbo","When young Sara hears a preacher say faith can move mountains, she starts praying. Suddenly, people in her town are mysteriously healed - but fame soon takes its toll.",English,https://m.media-amazon.com/images/M/MV5BMzAzMTAxZGUtMGY0OS00MTk1LTlkMTMtMzNhYmRlZDVhNTA3XkEyXkFqcGdeQXVyMTQ3ODkwMjc@._V1_SX300.jpg,N/A,5.4,"$3,163,362",N/A
75,Voyagers,2021,PG-13,09 Apr 2021,108 min,"Adventure, Sci-Fi, Thriller",Neil Burger,Neil Burger,"Colin Farrell, Tye Sheridan, Lily-Rose Depp","A crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not.",English,https://m.media-amazon.com/images/M/MV5BZDIzODQyODQtYzIyYy00MDE5LWJmZjMtMDRmYTRkNzAyZjAzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,44,5.4,"$3,149,935",N/A
76,The House Next Door: Meet the Blacks 2,2021,R,11 Jun 2021,97 min,"Action, Comedy, Horror",Deon Taylor,"Corey Harrell, Deon Taylor","Mike Epps, Katt Williams, Lil Duval","When best selling author Carl Black moves his family back to his childhood home, he must team up with oddball neighbors to do battle with a pimp, who may or may not be an actual vampire.",English,https://m.media-amazon.com/images/M/MV5BM2EyOTZkMWEtZDM2ZS00MWE2LTliMDQtMTc2YTM4MTczY2QzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,3.8,"$2,893,660",N/A
77,Here Today,2021,PG-13,07 May 2021,117 min,"Comedy, Drama",Billy Crystal,"Alan Zweibel, Billy Crystal","Billy Crystal, Chad Jennings, Dierdre Friel","When veteran comedy writer Charlie Burnz meets New York street singer Emma Payge, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust.",English,https://m.media-amazon.com/images/M/MV5BODdjZGY0NzgtZjZjMS00NTQ2LWI4ZDYtNmY5MTk0MmY3ZDQ4XkEyXkFqcGdeQXVyMTA3MzQ4MTg0._V1_SX300.jpg,40,6.7,"$2,807,494",N/A
78,Finding You,2021–,Not Rated,14 May 2021,N/A,"Drama, Romance",N/A,N/A,"Chris Murphy Smith, Christopher Brian, Phil Kramer",Shane (Smith) and Jonathan (Brian) seem to be stuck in toxic relationships until a chance encounter brings them together with a possibility of hope for happiness.,English,https://m.media-amazon.com/images/M/MV5BYjAwZjdjMjQtYTc2NC00ZTA4LWE0YzMtOGI5NzQyNjkwMWMzXkEyXkFqcGdeQXVyNzAxNzEwMDA@._V1_SX300.jpg,N/A,N/A,"$2,676,410",N/A
79,Lamb,2021,R,24 Sep 2021,106 min,"Drama, Fantasy, Horror",Valdimar Jóhannsson,"Sjón, Valdimar Jóhannsson","Noomi Rapace, Hilmir Snær Guðnason, Björn Hlynur Haraldsson","A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.",Icelandic,https://m.media-amazon.com/images/M/MV5BNzYzZTI2YmQtYmZlOS00NDI0LTg5MTktODJkNzc2Yzg0ZmMxXkEyXkFqcGdeQXVyNTQwOTY1MTg@._V1_SX300.jpg,68,6.3,"$2,657,850",N/A
80,The Card Counter,2021,R,10 Sep 2021,111 min,"Crime, Drama, Thriller",Paul Schrader,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan","Redemption is the long game in Paul Schrader's THE CARD COUNTER. Told with Schrader's trademark cinematic intensity, the revenge thriller tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his past",English,https://m.media-amazon.com/images/M/MV5BNTMyNzQ4MmUtMmJiYy00YjlmLWJiMzktNjc1MGNlMzBjYjhiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,77,6.3,"$2,577,830",N/A
81,Land,2021,PG-13,12 Feb 2021,89 min,"Adventure, Drama",Robin Wright,"Jesse Chatham, Erin Dignam","Robin Wright, Demián Bichir, Sarah Dawn Pledge","A bereaved woman seeks out a new life, off the grid in Wyoming.",English,https://m.media-amazon.com/images/M/MV5BMDk4YmZiZjYtMjgxMi00ZWU4LTk5MTQtMTBjOTZiOGUxOTM2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,61,6.7,"$2,404,127",N/A
82,The Eyes of Tammy Faye,2021,PG-13,17 Sep 2021,126 min,"Biography, Drama, Romance",Michael Showalter,"Fenton Bailey, Randy Barbato, Abe Sylvia","Jessica Chastain, Andrew Garfield, Cherry Jones","An intimate look at the extraordinary rise, fall and redemption of televangelist Tammy Faye Bakker.",English,https://m.media-amazon.com/images/M/MV5BNTg3ZTU5YjAtMGM2OC00YjQzLWE5MTctOGEwMjU0YWY0MmZkXkEyXkFqcGdeQXVyMjgyOTI1ODY@._V1_SX300.jpg,55,6.7,"$2,320,649",N/A
83,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,PG-13,02 Jul 2021,118 min,"Documentary, Music",Questlove,N/A,"Dorinda Drake, Barbara Bland-Acosta, Darryl Lewis","Summer Of Soul (...Or, When The Revolution Could Not Be Televised) is a feature documentary about the legendary 1969 Harlem Cultural Festival which celebrated African American music and culture, and promoted Black pride and unity.",English,https://m.media-amazon.com/images/M/MV5BNDE0MDRkODUtMTEwMC00ZWE2LWEyNzgtYzM5ZmVkZGMwMDg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,96,8.1,"$2,170,750",N/A
84,After We Fell,2021,R,22 Oct 2021,98 min,"Drama, Romance",Castille Landon,"Anna Todd, Sharon Soboil","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard","Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.",English,https://m.media-amazon.com/images/M/MV5BMTEzN2MxZWUtYTJkYS00NjU5LTk0ZjgtNzc1OTMwNWNjZGFkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,N/A,4.7,N/A,N/A
85,The Father,2021,N/A,21 Mar 2021,N/A,"Short, Drama",Blake Ridder,Blake Ridder,"Louis James, Stewart Permutt, Blake Ridder",Frustrated and confused an ageing man struggles to make sense of his existence.,English,https://m.media-amazon.com/images/M/MV5BMzE0MTY4MWUtNmQ4Zi00NDc1LWE2MDYtOWEyMzA0OWQ1NjlmXkEyXkFqcGdeQXVyODE4OTI4NzI@._V1_SX300.jpg,N/A,N/A,"$1,926,706",N/A
86,Queen Bees,2021,PG-13,11 Jun 2021,100 min,"Comedy, Drama, Romance",Michael Lembeck,"Donald Martin, Harrison Powell","Ellen Burstyn, Jane Curtin, Loretta Devine","After reluctantly agreeing to move in to a senior's home, a woman encounters a clique of mean-spirited women and an amorous widower.",English,https://m.media-amazon.com/images/M/MV5BZDNiYTEyNWEtMDUwNy00Njg0LTg0YjQtMmIzNTkwZTkwY2Q0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,52,6.2,"$1,782,909",N/A
87,Show Me the Father,2021,PG,10 Sep 2021,91 min,"Documentary, Drama",Rick Altizer,N/A,"Jim Daly, Jonathan Evans, Tony Evans",Features captivating stories interwoven with inspirational truths about the fatherhood of God.,English,https://m.media-amazon.com/images/M/MV5BZWJjZWRmZjQtNzQ0Ny00NzY4LTg4MGMtMmU1NTBiZmUzNTUyXkEyXkFqcGdeQXVyMjQ4NTQ5OTY@._V1_SX300.jpg,N/A,6.4,"$1,442,988",N/A
88,Point of View: A Designer Profile,2021–,N/A,14 Mar 2021,N/A,N/A,N/A,N/A,"Brian Patrick Flynn, Jean Stoffer, Lauren Bradshaw","Giving a behind-the-curtain look into the mind of interior designers, this anthology series lets us in on their creative processes and introduces the inspirations and influences that shape their designs.",English,https://m.media-amazon.com/images/M/MV5BYmI0NmIxYzctYzMxMi00NjlmLTlkNGEtZGFhN2QyYzUwYTEyXkEyXkFqcGdeQXVyMjU5NTM2NzE@._V1_SX300.jpg,N/A,N/A,"$1,437,938",N/A
89,Titane,2021,R,01 Oct 2021,108 min,"Drama, Horror, Sci-Fi",Julia Ducournau,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio","Vincent Lindon, Agathe Rousselle, Garance Marillier","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.",French,https://m.media-amazon.com/images/M/MV5BNGJlMTVlYWQtYmM5OC00MDgwLTk3NzAtMGViY2VjOGU0YjlkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,75,6.7,"$1,800,000",N/A
90,Together Together,2021,R,23 Apr 2021,90 min,Comedy,Nikole Beckwith,Nikole Beckwith,"Patti Harrison, Ed Helms, Rosalind Chao","When a young loner becomes the gestational surrogate for a single man in his 40s, the two strangers come to realize this unexpected relationship will challenge their perceptions of connection, boundaries and the particulars of love.",English,https://m.media-amazon.com/images/M/MV5BYTI5MmQ0M2UtMjZkZC00Mjk1LTljZmItN2ZlYzQ3MDdkZTQ3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,70,6.5,"$1,251,184",N/A
91,Honsla Rakh,2021,N/A,24 Nov 2021,145 min,"Comedy, Drama, Romance",Amarjit Singh Saron,Rakesh Dhawan,"Diljit Dosanjh, Shehnaaz Gill, Sonam Bajwa","A loveable, rooted, desi, punjabi young man, who's a single father with a seven year old boy attempts to find love again.",Punjabi,https://m.media-amazon.com/images/M/MV5BZjhlOWJlMzctNjI3Yi00NzUzLTk5MjUtYjVkZmM3NzEyMWE1XkEyXkFqcGdeQXVyMTM4MzE0MDk1._V1_SX300.jpg,N/A,8.0,"$1,113,723",N/A
92,Wrong Turn,2021,R,26 Feb 2021,109 min,"Horror, Thriller",Mike P. Nelson,Alan B. McElroy,"Charlotte Vega, Adain Bradley, Bill Sage","Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.",English,https://m.media-amazon.com/images/M/MV5BM2Y5ZWE2MTMtODE3ZC00NWQ4LWJkNzctNGY4Njg5NDY5MzNlXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_SX300.jpg,46,5.5,"$1,023,086",N/A
93,In the Earth,2021,R,16 Apr 2021,107 min,"Horror, Sci-Fi, Thriller",Ben Wheatley,Ben Wheatley,"Joel Fry, Reece Shearsmith, Hayley Squires","As the world searches for a cure to a disastrous virus, a scientist and park scout venture deep in the forest for a routine equipment run.",English,https://m.media-amazon.com/images/M/MV5BMWU0NjMxZGMtMjg5OC00Y2RiLThiMmEtYzYzMmFiNTgyMjM5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,63,5.2,"$1,038,255",N/A
94,Red Rocket,2021,R,17 Dec 2021,130 min,"Comedy, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Suzanna Son","Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back.",English,https://m.media-amazon.com/images/M/MV5BZjYyZWMyNjYtZjNlNC00NmNhLThjOTItYmViMGU5ZDU4YTM4XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,75,7.4,"$1,018,532",N/A
95,True to the Game 3,2021,R,03 Dec 2021,98 min,"Romance, Thriller",David Wolfgang,Jeff Robertson,"Malik Barnhardt, Starletta DuPois, Omar Gooding","The trilogy picks right up where True 2 left us. Gena's awakes to find that her mysterious savior is Quadir. Before happily ever after, Gena has 72 hours to go back to Philly to check on Bria and Gah Git and let them know of her plan",English,https://m.media-amazon.com/images/M/MV5BZDY1NTUxNTYtM2Q0Mi00NzM2LWFiM2UtMzhhMmY3ZmMyODQ1XkEyXkFqcGdeQXVyNjYyODEwMDU@._V1_SX300.jpg,N/A,4.8,"$1,016,725",N/A
