,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
53,Guns 3: Alias Billy the Kid,2022,N/A,03 Aug 2022,N/A,Western,Emilio Estevez,"Emilio Estevez, John Fusco","Christian Slater, Emilio Estevez, Lou Diamond Phillips",Plot kept under wraps. Third installment of the 'Young Guns' film franchise.,English,https://m.media-amazon.com/images/M/MV5BZDE5NGRkNzEtMmYzMi00NzJiLWJjMjMtZjBkMTViYTZlYTg2XkEyXkFqcGdeQXVyMTQ4NjgzNA@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
54,Secret Headquarters,2022,N/A,05 Aug 2022,N/A,"Action, Adventure, Sci-Fi","Henry Joost, Ariel Schulman","Henry Joost, Josh Koenigsberg, Ariel Schulman","Owen Wilson, Michael Peña, Jesse Williams","Young Charlie Kincaid, who discovers a secret headquarters under his home that seems to belong to a superhero. He shares it with his friends, and they start to believe that his estranged father might have a secret double life.",English,N/A,N/A,N/A,N/A,N/A
55,The Man from Toronto,2022,PG-13,12 Aug 2022,N/A,"Action, Comedy, Thriller",Patrick Hughes,"Robbie Fox, Chris Bremner, Jason Blumenthal","Kaley Cuoco, Woody Harrelson, Kevin Hart",The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,English,https://m.media-amazon.com/images/M/MV5BYzZmNTAwZGMtZTQ0OS00ZjkyLWFiMDAtYzUzZjk2ODQxMDM2XkEyXkFqcGdeQXVyMTAzNTkwODkw._V1_SX300.jpg,N/A,N/A,N/A,N/A
56,Samaritan,2022,PG-13,26 Aug 2022,N/A,"Action, Drama, Fantasy",Julius Avery,Bragi F. Schut,"Javon 'Wanna' Walton, Sylvester Stallone, Martin Starr",A young boy learns that a superhero who was thought to have gone missing after an epic battle twenty years ago may in fact still be around.,English,https://m.media-amazon.com/images/M/MV5BOTE4NmYzNDctN2JmYy00YjQxLTk5NWEtZWRlMzBhNmIxN2MxXkEyXkFqcGdeQXVyMTQ2MTg1Nzk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
57,After Ever Happy,2022,N/A,07 Sep 2022,119 min,"Drama, Romance",Castille Landon,"Sharon Soboil, Anna Todd","Hero Fiennes Tiffin, Josephine Langford, Carter Jenkins","As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, mo",English,https://m.media-amazon.com/images/M/MV5BYWUwMjZmZGYtYjIyOS00YTY2LWFiMjMtNWYyMjdlNmUwY2FmXkEyXkFqcGdeQXVyMTUzNDkzNDY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
58,Salem's Lot,2022,N/A,09 Sep 2022,N/A,Horror,Gary Dauberman,"Gary Dauberman, Stephen King","Pilou Asbæk, Spencer Treat Clark, Alfre Woodard",A writer travels to a town where the people become vampires.,English,https://m.media-amazon.com/images/M/MV5BMGY2Mzk2NjQtMGYxMC00Y2Q1LWJiMDgtODJjMTgxN2UzYmI3XkEyXkFqcGdeQXVyMTI0MzcyMDk4._V1_SX300.jpg,N/A,N/A,N/A,N/A
59,Dark Harvest,2022,N/A,09 Sep 2022,N/A,Horror,David Slade,"Michael Gilio, Norman Partridge","Jeremy Davies, Elizabeth Reaser, Luke Kirby",A legendary monster called October Boy terrorizes residents in a small Midwestern town when he rises from the cornfields every Halloween with his butcher knife and makes his way toward those who are brave enough to confront him.,N/A,https://m.media-amazon.com/images/M/MV5BMTgyMzc2ODgtYmVjZi00OTAyLWE1NTQtOGVmZWM4MzhmNjdkXkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_SX300.jpg,N/A,N/A,N/A,N/A
60,The Woman King,2022,N/A,16 Sep 2022,N/A,"Drama, History",Gina Prince-Bythewood,"Gina Prince-Bythewood, Dana Stevens","Hero Fiennes Tiffin, Jordan Bolger, Viola Davis","A historical epic inspired by the true events that happened in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",N/A,https://m.media-amazon.com/images/M/MV5BNDYwYjMwMTEtMjY5MS00NGJjLTlmODMtNmZhMTc4ZDkwODhhXkEyXkFqcGdeQXVyMzQ0NDM5NTk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
61,Don't Worry Darling,2022,R,23 Sep 2022,N/A,"Crime, Drama, Horror",Olivia Wilde,"Katie Silberman, Carey Van Dyke, Shane Van Dyke","Gemma Chan, Florence Pugh, Olivia Wilde",A 1950's housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.,English,https://m.media-amazon.com/images/M/MV5BNzlkODMzYWQtM2M3Yy00Y2Y0LTkyMGItNDViMDQ3N2FkYTAyXkEyXkFqcGdeQXVyNTA3NTA2ODM@._V1_SX300.jpg,N/A,N/A,N/A,N/A
62,Puss in Boots: The Last Wish,2022,N/A,23 Sep 2022,N/A,"Animation, Adventure, Comedy","Joel Crawford, Januel Mercado","Christopher Meledandri, Chris Miller","Antonio Banderas, Chris Miller, Miguel Gabriel",Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,English,https://m.media-amazon.com/images/M/MV5BY2U2ZjI4NDctM2IxNy00ODdiLTk3NWItYjJhMjliYWVlOTI3XkEyXkFqcGdeQXVyODg2MTA3ODE@._V1_SX300.jpg,N/A,N/A,N/A,20th Century Fox
63,Spider-Man: Across the Spider-Verse - Part One,2022,N/A,07 Oct 2022,N/A,"Animation, Action, Adventure","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Oscar Isaac","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and",English,https://m.media-amazon.com/images/M/MV5BZGRhNDE1YjYtOGUzMC00YjliLThiOTgtYTkwNmQwNDZjYjFhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
64,Till,2022,N/A,07 Oct 2022,N/A,Drama,Chinonye Chukwu,"Keith Beauchamp, Chinonye Chukwu, Michael Reilly","Haley Bennett, Whoopi Goldberg, Danielle Deadwyler",The story of Emmett Louis Till and the legacy of his mother who pursued justice for her lynched son.,N/A,https://m.media-amazon.com/images/M/MV5BYTlhOTA2MWYtNWMxOS00ZjhiLWI2YmEtMDRmYmE2NzQwNjI1XkEyXkFqcGdeQXVyMjIzMTQ5NjE@._V1_SX300.jpg,N/A,N/A,N/A,N/A
65,Halloween Ends,2022,N/A,14 Oct 2022,N/A,"Horror, Thriller",David Gordon Green,"Chris Bernier, John Carpenter, David Gordon Green","Jamie Lee Curtis, Kyle Richards, Andi Matichak",The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in this final installment of the franchise.,English,https://m.media-amazon.com/images/M/MV5BYTI4ZTVhOWMtOTNlNi00ZThmLTljNDktOGE3YmJhOGY3YTYxXkEyXkFqcGdeQXVyMTA3MDAxNDcw._V1_SX300.jpg,N/A,N/A,N/A,N/A
66,Ticket to Paradise,2022,N/A,21 Oct 2022,N/A,"Comedy, Romance",Ol Parker,"Ol Parker, Daniel Pipski","Kaitlyn Dever, George Clooney, Lucas Bravo",A divorced couple that teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,N/A,N/A,N/A,N/A,N/A,N/A
67,The Devil's Light,2022,PG-13,28 Oct 2022,93 min,"Horror, Thriller",Daniel Stamm,"Robert Zappia, Todd R. Jones, Earl Richey Jones","Virginia Madsen, Nicholas Ralph, Colin Salmon",A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,English,N/A,N/A,N/A,N/A,N/A
68,The Monkey King: The Legend Begins,2022,N/A,02 Nov 2022,90 min,Fantasy,Soi Cheang,Edmond Wong,"Donnie Yen, Chow Yun-Fat, Aaron Kwok","The Monkey King: The Legend Begins is the re-imagined version by Hollywood of the film The Monkey King: Havoc in Heavens Palace, the origin and birthplace of The Monkey King Story.",English,https://m.media-amazon.com/images/M/MV5BNWIzNGRlM2QtNzVlMS00YTkxLWEzY2ItZmJlMjVjYWFhMWUwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SX300.jpg,N/A,5.7,N/A,N/A
69,The Flash,2022,N/A,04 Nov 2022,N/A,"Action, Adventure, Fantasy",Andy Muschietti,"Christina Hodson, Gardner Fox, Harry Lampert","Temuera Morrison, Ben Affleck, Michael Keaton","The plot is unknown. Feature film based on the comic book superhero, The Flash.",English,https://m.media-amazon.com/images/M/MV5BOWNhMGU5MjEtMGVkYi00M2RiLWE5NjUtY2U5NDAxZTcwNDY0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
70,Untitled David O. Russell,2022,N/A,04 Nov 2022,N/A,"Drama, History",David O. Russell,David O. Russell,"Anya Taylor-Joy, Margot Robbie, Rami Malek",Plot details kept under wraps.,English,N/A,N/A,N/A,N/A,N/A
71,Black Panther: Wakanda Forever,2022,N/A,11 Nov 2022,N/A,"Action, Adventure, Drama",Ryan Coogler,"Joe Robert Cole, Ryan Coogler","Letitia Wright, Daniel Kaluuya, Martin Freeman",A sequel that will continue to explore the world of Wakanda and all the characters introduced in the 2018 film.,English,https://m.media-amazon.com/images/M/MV5BYjJlMjBmYzUtY2E3MC00OWI1LWE1YmUtOTdmM2IyMTQyZDBjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
72,Spellbound,2022,N/A,11 Nov 2022,N/A,"Animation, Adventure, Comedy",Vicky Jenson,"Lauren Hynek, Elizabeth Martin, Linda Woolverton",N/A,"Spellbound tells the story of Elian, a teenager who comes of age using her magical powers to defend her family when the opposing forces of light and darkness threaten to divide her kingdom.",English,https://m.media-amazon.com/images/M/MV5BMjMwYWNjYTItNmVkZS00YWEwLWJhZTEtOGVkMDlkNzIyNjJkXkEyXkFqcGdeQXVyMzY3MDEzMTA@._V1_SX300.jpg,N/A,N/A,N/A,N/A
73,Thirteen Lives,2022,PG-13,18 Nov 2022,N/A,"Biography, Drama, Thriller",Ron Howard,William Nicholson,"Tom Bateman, Colin Farrell, Viggo Mortensen",A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,English,N/A,N/A,N/A,N/A,N/A
74,Creed III,2022,N/A,23 Nov 2022,N/A,"Drama, Sport",Michael B. Jordan,"Zach Baylin, Keenan Coogler","Tessa Thompson, Michael B. Jordan, Jonathan Majors",Third installment of the 'Creed' franchise.,English,N/A,N/A,N/A,N/A,N/A
75,The Fabelmans,2022,N/A,23 Nov 2022,N/A,Drama,Steven Spielberg,"Tony Kushner, Steven Spielberg","Michelle Williams, Seth Rogen, Paul Dano",A semi-autobiography based on Spielberg's own childhood.,English,https://m.media-amazon.com/images/M/MV5BNDliOTUyNjQtZWRiNC00MjcyLWIwM2YtMjY4NmQ4ODExOTNiXkEyXkFqcGdeQXVyMTIwMjQ4ODcw._V1_SX300.jpg,N/A,N/A,N/A,N/A
76,Strange World,2022,N/A,23 Nov 2022,N/A,"Animation, Action, Adventure",Don Hall,Qui Nguyen,Alan Tudyk,The legendary Clades are a family of explorers whose differences threatened to topple their latest and most crucial mission.,English,https://m.media-amazon.com/images/M/MV5BMDNjOTc2MGMtZTY2OC00YTZjLTljZmMtNTVhYTQzYTBlYjE5XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,N/A,N/A,N/A,N/A
77,Avatar 2,2022,N/A,16 Dec 2022,N/A,"Action, Adventure, Sci-Fi",James Cameron,"James Cameron, Josh Friedman","Zoe Saldana, Chloe Coleman, Kate Winslet","Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet.",English,https://m.media-amazon.com/images/M/MV5BNmM1NmY4N2QtNmVkOS00MjMyLWI5ZGUtYWYxMDRjY2MzNDdiXkEyXkFqcGdeQXVyMTAwMDAwMA@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
78,Aquaman and the Lost Kingdom,2022,N/A,16 Dec 2022,N/A,"Action, Adventure, Fantasy",James Wan,"David Leslie Johnson-McGoldrick, Paul Norris, Mort Weisinger","Temuera Morrison, Nicole Kidman, Jason Momoa",Plot unknown. Sequel to the 2018 film 'Aquaman.',English,https://m.media-amazon.com/images/M/MV5BM2QyYTRkMjMtMDk5NC00OTc0LWIyYTYtNGNhMzRjMTNhNGNkXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_SX300.jpg,N/A,N/A,N/A,N/A
79,Untitled Illumination Entertainment Project,2022,N/A,21 Dec 2022,N/A,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic","Matthew Fogel, Shigeru Miyamoto","Anya Taylor-Joy, Chris Pratt, Seth Rogen","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game.",English,https://m.media-amazon.com/images/M/MV5BODMzNmZjZGItNjk5Yy00ZTg5LTg1MjMtODU4NmUzMjg2M2E3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
80,I Wanna Dance with Somebody,2022,N/A,23 Dec 2022,N/A,"Biography, Music",Kasi Lemmons,Anthony McCarten,"Stanley Tucci, Tamara Tunie, Clarke Peters","The joyous, emotional and heart-breaking celebration of the life and music of Whitney Houston, the greatest female R&amp;B pop vocalist of all time. Tracking her journey from obscurity to musical super stardom",N/A,N/A,N/A,N/A,N/A,N/A
81,A Man Called Otto,2022,N/A,N/A,N/A,"Comedy, Drama",Marc Forster,Fredrik Backman,"Tom Hanks, Rachel Keller, Manuel Garcia-Rulfo",A cranky retired man strikes up an unlikely friendship with his boisterous new neighbors. A remake of the 2015 Swedish film.,English,N/A,N/A,N/A,N/A,N/A
82,Babylon,2022,N/A,06 Jan 2023,N/A,Drama,Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Olivia Wilde",Plot unknown. Rumored to be set in period Hollywood.,English,https://m.media-amazon.com/images/M/MV5BOGI5N2RhOTItNTU0Yy00ZThkLTlhZWUtYTBkNzU5MTQ5OTdjXkEyXkFqcGdeQXVyMTA0NTY3NDQx._V1_SX300.jpg,N/A,N/A,N/A,N/A
